鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,總樓層數_int
松山區,房地(土地+建物),民生東路五段181~210號,13.13,都市：其他:第三種商業區(民生社區特定專用區)。,,,1100222,土地1建物1車位0,十二層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0721229,148.87,3,2,2,有,有,31500000,211594,,0.0,0,,RPORMLOJLHGGFDA37EA,114.26,0.0,7.67,有,,16
文山區,房地(土地+建物),景興路181~210號,4.73,都市：其他:第三種商業區。,,,1091226,土地1建物1車位0,十八層,二十一層,住宅大樓(11層含以上有電梯),住家用,見使用執照,0850104,58.06,1,1,1,有,有,8100000,139511,,0.0,0,,RPOPMLMKLHGGFAA76EA,26.28,0.97,2.05,有,132.0,21
大安區,房地(土地+建物),和平東路三段391~420號,12.5,都市：其他:第三種住宅區。,,,1091229,土地2建物1車位0,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951113,70.26,2,1,2,有,有,17800000,253345,,0.0,0,其他增建;,RPQOMLSJKHGGFFA67DA,43.97,1.53,6.1,有,,14
北投區,房地(土地+建物),幽雅路1~30號,9.95,都市：其他:市場用地(公共設施用地)。59/7/4,,,1100208,土地1建物1車位0,五層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980205,61.54,1,1,1,有,有,8000000,129997,,0.0,0,,RPVNMLPJLHGGFEA77DA,31.18,1.13,6.55,有,,13
松山區,房地(土地+建物)+車位,八德路二段331~360號,3.04,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第參種住宅區)。,,,1100220,土地2建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980123,51.730000000000004,1,1,1,有,有,11800000,228107,塔式車位,0.0,0,塔式車位位置：地下二樓。陽台外推;夾層;其他增建;,RPSOMLLKLHGGFDA17DA,18.46,0.97,3.19,有,137.0,14
中山區,房地(土地+建物)+車位,植福路286巷1~30號,63.09,都市：其他:娛樂區(供觀光旅館使用)。,,,1091209,土地1建物1車位2,九層,四十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1031229,549.25,0,0,0,無,有,210000000,428345,坡道平面,75.8,7200000,,RPPPMLQKLHGGFCA37DA,298.86,1.43,33.45,有,,42
內湖區,房地(土地+建物)+車位,成功路四段151~180號,20.61,都市：其他:市場用地,,,1091211,土地1建物1車位2,九層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1070223,309.15,4,2,2,有,有,65380000,244591,坡道平面,58.2,4000000,,RPRNMLSJLHGGFCA47DA,145.47,6.71,18.1,有,,29
內湖區,房地(土地+建物)+車位,成功路四段151~180號,16.89,都市：其他:市場用地,,,1091207,土地1建物1車位1,二十八層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1070223,237.57,0,0,0,無,有,62080000,287715,坡道平面,29.1,2100000,毛胚屋;,RPTNMLSJLHGGFCA67DA,121.53,2.85,17.12,有,,29
內湖區,房地(土地+建物)+車位,成功路四段151~180號,20.16,都市：其他:市場用地,,,1100114,土地1建物1車位2,五層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1070223,303.72,3,2,2,有,有,65700000,251507,坡道平面,58.2,3950000,本戶含裝潢,RPVNMLSJLHGGFCA87DA,145.68,1.69,18.1,有,,29
內湖區,房地(土地+建物)+車位,內湖路一段411巷62弄1~30號,49.76,都市：其他:第三種住宅區。,,,1100131,土地1建物1車位2,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970331,315.14,2,2,2,有,有,63550000,201656,坡道平面,73.27,0,陽台外推;其他增建;,RPRQMLLKLHGGFCA17DA,142.31,6.88,12.61,有,,15
