鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
仁武區,房地(土地+建物)+車位,京吉五路1~30號,24.48,都市：其他:社區中心商業區,,,1100218,土地1建物1車位1,十五層,十八層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1090624,186.31,3,2,2,有,有,10100000,55701,坡道平面,33.71,1600000,,RPSOMLKKLHGGFIE97DA,84.51,12.45,0.0,有,
鳥松區,房地(土地+建物),忠信街31~60號,123.44,,,,1091227,土地2建物1車位0,全,五層,透天厝,集合住宅,鋼筋混凝土,1090824,324.39,6,2,6,有,無,23500000,72444,,0.0,0,,RPPNMLMJLHGGFIE67DA,270.56,53.83,0.0,無,
鳥松區,房地(土地+建物),忠信街60巷1~30號,77.2,都市：其他:遊樂商業區,,,1091116,土地2建物1車位0,全,五層,透天厝,集合住宅,鋼筋混凝土,1090824,203.57,5,2,5,有,無,13000000,63860,,0.0,0,,RPQNMLMJLHGGFIE77DA,189.96,13.61,0.0,無,
鳥松區,房地(土地+建物)+車位,本路46巷1~30號,37.53,都市：其他:第三種住宅區。,,,1091230,土地2建物1車位1,九層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820330,158.0,3,2,2,有,有,6700000,42405,坡道平面,0.0,0,,RPTOMLSJLHGGFIE78DA,90.27,15.25,0.0,有,0059
仁武區,土地,灣勢段961~990地號,487.51,都市：其他:農業區,,,1100118,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10320000,21169,,0.0,0,,RPRNMLRKKHGGFIE38DA,0.0,0.0,0.0,無,0060
仁武區,房地(土地+建物),鳳仁路91~120號,68.84,都市：其他:第二種住宅區,,,1100220,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0791031,177.06,4,2,3,有,無,7100000,40099,,0.0,0,,RPPOMLMLKHGGFIE87DA,133.17,43.89,0.0,無,
鳥松區,房地(土地+建物),澄新一街1~30號,92.58,都市：其他:第三種住宅區。,,,1100106,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0820715,230.79,4,2,4,有,無,12180000,52775,,0.0,0,,RPQNMLKMJHGGFIE67DA,188.46,42.33,0.0,無,
旗山區,房地(土地+建物),中山南街91~120號,118.81,都市：其他:住宅區,,,1091215,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1080521,224.19,6,2,4,有,無,15600000,69584,,0.0,0,土地：858萬元整；建物：702萬元整,RPUNMLPJJHGGFHE18DA,212.36,11.83,0.0,無,
甲仙區,土地,公館段691~720地號,853.47,都市：其他:乙種工業區,,,1100225,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3870000,4534,,0.0,0,,RPPNMLQLKHGGFHE08DA,0.0,0.0,0.0,無,
鳳山區,房地(土地+建物)+車位,五甲二路241~270號,15.06,都市：其他:第三之一種住宅區,,,1100127,土地1建物1車位1,七層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830723,133.79,3,2,2,有,有,8000000,59795,坡道機械,0.0,0,陽台外推;,RPSOMLTJLHGGFGE58DA,87.49,0.0,11.01,有,
