鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
新莊區,房地(土地+建物)+車位,龍安路31~60號,13.75,都市：其他:住宅區,,,1100103,土地1建物1車位1,十四層,二十八層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1080723,162.07999999999998,3,2,2,有,無,17350000,114677,坡道平面,27.79,1950000,,RPSPMLOJLHGGFBF77DA,77.32,6.8,4.74,有,
新莊區,房地(土地+建物)+車位,龍安路31~60號,13.66,都市：其他:住宅區,,,1100103,土地1建物1車位1,二十六層,二十八層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1080723,161.42000000000002,3,2,2,有,無,17680000,118836,坡道平面,27.79,1800000,,RPUPMLOJLHGGFBF97DA,76.73,6.98,4.74,有,
新莊區,房地(土地+建物)+車位,福美街31~60號,19.6,都市：其他:商業區,,,1091201,土地1建物1車位1,十九層,二十九層,住宅大樓(11層含以上有電梯),集合住宅,鋼骨構造,1090612,191.43,3,2,2,有,無,25300000,150184,坡道平面,38.95,2400000,含裝潢費;含傢俱設備費;,RPRQMLOJLHGGFBF77DA,84.81,1.87,14.7,有,
新莊區,房地(土地+建物)+車位,福美街31~60號,19.6,都市：其他:商業區,,,1091201,土地1建物1車位1,二十層,二十九層,住宅大樓(11層含以上有電梯),集合住宅,鋼骨構造,1090612,191.39,3,2,2,有,無,25500000,151535,坡道平面,38.95,2400000,含裝潢費;含傢俱設備費;,RPSQMLOJLHGGFBF87DA,84.86,1.87,14.61,有,
新莊區,房地(土地+建物)+車位,福前街63巷1~30號,22.35,都市：其他:第二種住宅區,,,1100124,土地1建物1車位1,四層,十二層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1050725,158.25,3,2,2,有,有,17300000,109321,坡道平面,48.01,0,,RPPOMLPJLHGGFBF47DA,62.66,8.83,5.45,有,0016
新莊區,房地(土地+建物)+車位,中港路481~510號,20.44,都市：其他:住宅區,,,1091226,土地1建物1車位1,四層，走廊,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850120,146.96,3,2,2,有,有,12000000,81655,坡道平面,0.0,0,陽台外推;其他增建;,RPSOMLPJLHGGFBF77DA,76.86,0.0,9.36,有,
林口區,房地(土地+建物)+車位,林口路187巷31~60號,119.87,都市：其他:第二種住宅區,,,1100123,土地3建物1車位2,一層，二層，地下一層,五層,華廈(10層含以下有電梯),集合住宅，倉庫間,鋼筋混凝土造,0791129,331.72,5,2,3,有,有,16170000,48747,坡道平面,0.0,0,陽台外推;,RPPSMLPJLHGGFBF87DA,225.77,0.95,14.75,有,
新莊區,房地(土地+建物)+車位,思源路332巷1~30號,26.94,都市：其他:第二種住宅區,,,1091219,土地1建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1091014,159.8,3,2,2,有,有,24260000,178813,坡道平面,36.99,2300000,含裝潢費;,RPPQMLSJLHGGFBF97DA,69.74,7.62,3.77,有,
新莊區,房地(土地+建物)+車位,福美街128巷1~30號,31.64,都市：其他:第二種住宅區,,,1100205,土地1建物1車位1,九層,十二層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1081106,149.03,2,1,1,有,有,18330000,158893,坡道平面,47.83,2250000,,RPQQMLSJLHGGFBF08DA,59.6,1.85,4.39,有,
新莊區,房地(土地+建物)+車位,福美街128巷1~30號,31.93,都市：其他:第二種住宅區,,,1100222,土地1建物1車位1,九層,十二層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1081106,149.85000000000002,2,1,1,有,有,18870000,163399,坡道平面,47.83,2200000,含裝潢費;,RPUQMLSJLHGGFBF48DA,60.07,1.94,4.39,有,
泰山區,房地(土地+建物)+車位,楓江路31~60號,24.43,都市：其他:第二種住宅區,,,1100119,土地1建物1車位1,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950119,162.66000000000003,4,2,2,有,有,14600000,89758,坡道平面,33.08,0,其他增建;,RPTRMLSJLHGGFBF48DA,79.3,0.0,10.88,有,
五股區,房地(土地+建物)+車位,新五路三段271~300號,26.73,都市：其他:商業區,,,1090929,土地1建物1車位2,十三層,十九層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1080319,246.57999999999998,3,2,2,有,有,21360000,101149,坡道平面,75.94,4100000,,RPRSMLSJLHGGFBF38DA,98.91,4.13,12.51,有,
五股區,房地(土地+建物)+車位,新五路三段271~300號,16.3,都市：其他:商業區,,,1100204,土地1建物1車位1,十九層,十九層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1080319,141.26999999999998,2,2,1,有,有,12000000,96321,坡道平面,37.97,2050000,,RPSSMLSJLHGGFBF48DA,63.14,0.0,4.94,有,
五股區,房地(土地+建物)+車位,新五路三段271~300號,16.17,都市：其他:商業區,,,1100131,土地1建物1車位1,十九層,十九層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1080319,140.57,2,2,1,有,有,11900000,94055,坡道平面,37.97,2250000,,RPTSMLSJLHGGFBF58DA,0.0,0.0,0.0,有,
新莊區,車位,西盛街231巷1~30號,1.64,都市：其他:住宅區,,,1100206,土地1建物1車位1,,,其他,,,,29.4,0,0,0,有,有,1000000,,升降機械,29.4,1000000,僅車位交易;,RPOOMLTJLHGGFBF77DA,0.0,0.0,0.0,有,
